                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1908,                 1.4416,                 1.2243,                 1.0798,                 0.5593,                0.54989,                0.56352,                0.39729,                0.51319,                0.49667,                0.49822,                0.21686,                 1.1455,                 1.4162,                 1.1155,                   1.09,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.1485,                 1.4228,                 1.1154,                  1.077,                0.55624,                0.50162,                0.53122,                0.37867,                0.51198,                0.43765,                0.46838,                0.20128,                 1.1845,                  1.464,                 1.1597,                 1.0976,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.2016,                 1.4671,                 1.1196,                 1.0661,                0.57601,                0.53212,                0.55435,                0.40286,                0.54991,                0.46987,                0.49996,                0.22309,                 1.1291,                 1.4092,                 1.0846,                 1.0784,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.1942,                 1.4532,                  1.145,                  1.074,                 0.5529,                0.53288,                0.54135,                0.37619,                0.52101,                0.46607,                0.47489,                0.19864,                 1.2039,                  1.501,                 1.1298,                 1.1037,               0.001769,               0.001769,               0.001769
                     38,                 1.2667,                 1.4675,                 1.1724,                 1.0947,                0.55282,                0.52595,                0.52802,                0.36683,                0.50028,                0.45999,                0.44746,                 0.1906,                 1.2069,                 1.4629,                 1.1798,                  1.098,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.2377,                 1.4428,                  1.103,                 1.0833,                0.57626,                 0.5269,                 0.5466,                0.37191,                0.55464,                0.48841,                0.51161,                0.23333,                 1.2289,                 1.4676,                 1.1113,                 1.1111,              0.0017558,              0.0017558,              0.0017558
                     40,                  1.206,                 1.4389,                 1.0969,                 1.0868,                0.59261,                 0.5454,                0.58236,                0.40723,                0.54621,                0.47729,                0.50626,                0.21219,                 1.1902,                 1.4528,                 1.0782,                 1.0992,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.1619,                 1.4238,                 1.0556,                 1.0665,                0.57639,                0.53469,                0.55521,                0.39141,                0.53173,                0.47624,                0.49369,                0.21522,                 1.1886,                 1.4545,                  1.089,                 1.1044,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.1671,                 1.3692,                 1.0876,                 1.0647,                0.58754,                0.53299,                0.56646,                0.38413,                0.55467,                0.48289,                0.51048,                0.22297,                 1.2229,                 1.4142,                 1.0866,                 1.1057,               0.001736,               0.001736,               0.001736
                     43,                 1.1771,                 1.3785,                 1.0526,                 1.0616,                0.59608,                0.54181,                0.57149,                0.40388,                0.55408,                0.49078,                  0.513,                0.22028,                 1.1628,                 1.3907,                 1.0731,                 1.0942,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.1608,                 1.3705,                 1.0586,                 1.0603,                0.58624,                0.51796,                0.55582,                0.39578,                0.52791,                0.45262,                0.48321,                0.21048,                 1.1738,                 1.4242,                 1.1079,                 1.0849,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.0807,                 1.3185,                 1.0183,                 1.0403,                 0.6019,                0.55063,                0.58301,                0.42067,                0.55762,                0.50513,                 0.5299,                 0.2336,                 1.1155,                 1.3997,                 1.0455,                 1.0789,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.1934,                 1.4666,                 1.1505,                 1.0639,                0.58633,                0.53317,                0.56522,                0.40219,                0.55516,                0.48204,                0.50747,                0.22372,                 1.1765,                 1.3863,                 1.1004,                 1.0863,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.2204,                 1.4296,                 1.1206,                 1.0861,                0.57139,                0.53526,                 0.5614,                 0.4022,                0.51916,                0.46217,                0.48171,                0.20635,                   1.15,                 1.4049,                 1.1048,                 1.0732,               0.001703,               0.001703,               0.001703
                     48,                 1.1503,                 1.3704,                 1.0602,                 1.0548,                0.58084,                0.54246,                0.56758,                0.40068,                0.53049,                0.49193,                0.50413,                0.21646,                 1.1753,                 1.4572,                 1.1094,                 1.0859,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.1616,                 1.3789,                 1.0274,                 1.0572,                0.56297,                0.53374,                0.55874,                0.38664,                 0.4921,                0.44896,                0.45569,                0.18301,                 1.2084,                 1.5109,                 1.1147,                 1.0842,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.1222,                 1.3485,                 1.0718,                 1.0456,                0.58286,                0.53611,                0.56429,                0.40103,                0.56566,                0.49572,                0.53044,                0.25037,                 1.1448,                 1.3395,                 1.0829,                 1.0789,              0.0016832,              0.0016832,              0.0016832
