                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 0.5048,                0.79376,                 0.4222,                0.91794,                0.89314,                0.86412,                0.92675,                0.81555,                0.89981,                 0.8701,                0.92656,                0.67652,                0.51552,                0.79909,                0.46855,                0.96398,               0.008383,               0.008383,               0.008383
                     51,                0.50224,                0.78767,                0.42234,                0.91752,                 0.8968,                0.86061,                0.92634,                0.81469,                 0.9011,                0.86895,                0.92614,                 0.6762,                0.51719,                0.79931,                0.46985,                0.96667,                0.00835,                0.00835,                0.00835
                     52,                0.50299,                0.78869,                0.41759,                0.91483,                0.89505,                0.86322,                0.92672,                 0.8156,                0.90143,                0.86958,                0.92616,                0.67735,                0.51546,                0.79719,                0.46923,                0.96592,               0.008317,               0.008317,               0.008317
                     53,                0.49985,                0.78527,                0.41483,                0.91571,                0.89623,                0.86299,                0.92653,                0.81574,                0.90134,                0.87013,                0.92627,                0.67787,                0.51504,                0.79723,                0.47012,                 0.9661,               0.008284,               0.008284,               0.008284
                     54,                0.49824,                0.78589,                 0.4184,                0.91743,                0.89529,                0.86438,                0.92664,                 0.8162,                0.90074,                 0.8716,                0.92682,                0.67886,                0.51351,                0.79614,                0.46928,                0.96556,               0.008251,               0.008251,               0.008251
                     55,                0.49875,                0.78282,                0.41401,                0.91428,                0.89626,                0.86321,                0.92673,                0.81649,                0.90293,                0.86932,                0.92682,                0.67933,                 0.5128,                0.79508,                 0.4682,                0.96539,               0.008218,               0.008218,               0.008218
                     56,                0.49831,                0.78473,                0.41099,                 0.9136,                0.89703,                0.86217,                0.92658,                0.81656,                0.90273,                0.87033,                0.92674,                0.67952,                 0.5111,                0.79464,                0.46749,                0.96444,               0.008185,               0.008185,               0.008185
                     57,                0.49681,                0.78603,                0.41585,                0.91285,                0.89909,                0.86164,                0.92619,                 0.8165,                0.90562,                0.86895,                0.92709,                0.67896,                0.51071,                0.79535,                0.46635,                0.96484,               0.008152,               0.008152,               0.008152
                     58,                0.49547,                0.78024,                0.41156,                0.91203,                0.90028,                0.86128,                0.92607,                0.81666,                0.90543,                0.87019,                0.92703,                0.67875,                0.50969,                0.79551,                0.46618,                0.96425,               0.008119,               0.008119,               0.008119
                     59,                0.49677,                0.78438,                0.41092,                0.91424,                0.89807,                0.86347,                0.92596,                0.81687,                0.90451,                0.87078,                0.92724,                0.67805,                0.50909,                0.79577,                0.46614,                 0.9642,               0.008086,               0.008086,               0.008086
                     60,                0.49388,                0.77888,                0.40559,                0.91111,                0.89713,                0.86435,                 0.9255,                0.81679,                0.90425,                 0.8712,                 0.9269,                0.67726,                0.50861,                0.79609,                0.46659,                0.96432,               0.008053,               0.008053,               0.008053
                     61,                0.49151,                0.77676,                0.40704,                0.91219,                0.89612,                0.86562,                0.92558,                0.81695,                0.90243,                 0.8734,                0.92683,                0.67786,                0.50824,                0.79616,                0.46687,                0.96445,                0.00802,                0.00802,                0.00802
                     62,                0.49059,                0.77533,                0.40409,                0.91362,                0.89602,                0.86546,                0.92544,                0.81684,                0.90353,                0.87198,                0.92647,                0.67806,                 0.5083,                 0.7958,                0.46676,                0.96485,               0.007987,               0.007987,               0.007987
                     63,                0.49244,                0.77475,                0.40493,                0.91045,                0.89555,                0.86559,                 0.9254,                0.81681,                 0.9026,                0.87302,                0.92671,                0.67774,                0.50762,                0.79619,                0.46695,                0.96428,               0.007954,               0.007954,               0.007954
                     64,                0.48908,                 0.7699,                0.40245,                0.90899,                0.89617,                0.86607,                0.92515,                0.81677,                0.90329,                0.87296,                0.92668,                0.67815,                 0.5069,                0.79637,                0.46571,                0.96404,               0.007921,               0.007921,               0.007921
                     65,                0.48845,                0.77319,                0.40139,                0.90908,                0.89715,                0.86568,                0.92504,                  0.817,                0.90433,                0.87296,                0.92683,                0.67777,                 0.5066,                0.79643,                0.46611,                0.96391,               0.007888,               0.007888,               0.007888
                     66,                0.48856,                 0.7762,                0.40177,                0.91004,                0.89441,                0.86842,                0.92513,                0.81717,                0.90237,                0.87488,                0.92675,                0.67732,                 0.5063,                0.79708,                 0.4657,                0.96387,               0.007855,               0.007855,               0.007855
                     67,                0.48727,                0.77265,                0.40091,                0.90847,                0.89303,                0.86958,                0.92513,                0.81719,                0.90185,                0.87485,                0.92679,                0.67774,                0.50633,                0.79725,                0.46529,                0.96425,               0.007822,               0.007822,               0.007822
                     68,                0.48707,                0.77023,                0.39865,                0.90694,                0.89536,                0.86777,                0.92525,                0.81732,                0.90301,                0.87406,                0.92675,                0.67794,                0.50605,                0.79749,                0.46572,                0.96404,               0.007789,               0.007789,               0.007789
                     69,                0.48679,                0.77293,                0.40048,                0.91064,                0.89411,                0.86813,                0.92519,                0.81754,                0.90279,                0.87432,                0.92675,                0.67786,                0.50596,                0.79846,                0.46578,                0.96429,               0.007756,               0.007756,               0.007756
                     70,                0.48472,                0.77073,                0.39755,                0.90894,                0.89487,                0.86686,                0.92539,                0.81776,                0.90238,                0.87377,                0.92706,                0.67846,                0.50576,                0.79899,                0.46602,                 0.9644,               0.007723,               0.007723,               0.007723
                     71,                0.48104,                0.76433,                0.39348,                0.90836,                0.89622,                0.86623,                0.92564,                0.81798,                0.90331,                0.87309,                0.92702,                0.67813,                 0.5053,                0.80041,                0.46578,                0.96454,                0.00769,                0.00769,                0.00769
                     72,                0.48314,                0.76528,                0.39539,                0.90805,                0.89462,                0.86796,                0.92557,                0.81822,                0.90176,                0.87426,                0.92709,                 0.6786,                0.50505,                 0.8001,                0.46568,                0.96458,               0.007657,               0.007657,               0.007657
                     73,                0.48217,                0.76502,                0.39784,                0.91102,                0.89473,                0.86721,                0.92557,                0.81823,                 0.9019,                0.87387,                  0.927,                0.67846,                0.50483,                0.80035,                0.46529,                 0.9648,               0.007624,               0.007624,               0.007624
                     74,                0.48004,                0.76509,                0.39254,                0.90706,                0.89698,                0.86601,                0.92535,                0.81796,                0.90317,                0.87289,                0.92682,                0.67838,                0.50478,                0.80061,                0.46549,                0.96498,               0.007591,               0.007591,               0.007591
                     75,                0.47862,                0.76215,                0.39337,                0.90841,                0.89484,                0.86799,                0.92526,                 0.8181,                0.90101,                0.87465,                0.92649,                0.67851,                0.50445,                0.80062,                0.46529,                0.96492,               0.007558,               0.007558,               0.007558
                     76,                0.47756,                0.75641,                0.38981,                0.90411,                0.89555,                0.86708,                0.92517,                0.81802,                0.90161,                0.87394,                0.92637,                0.67815,                0.50446,                0.80097,                0.46518,                0.96513,               0.007525,               0.007525,               0.007525
                     77,                0.47891,                0.76197,                  0.391,                0.90386,                0.89448,                0.86817,                0.92517,                0.81768,                0.90081,                0.87458,                0.92577,                0.67771,                0.50431,                 0.8015,                 0.4654,                0.96513,               0.007492,               0.007492,               0.007492
                     78,                0.47729,                0.76329,                0.39424,                0.90698,                0.89582,                0.86702,                0.92515,                0.81777,                0.90194,                0.87365,                0.92577,                0.67798,                0.50443,                0.80148,                0.46538,                0.96545,               0.007459,               0.007459,               0.007459
                     79,                0.47466,                0.75812,                   0.39,                0.90612,                0.89573,                0.86734,                0.92514,                0.81799,                 0.9016,                0.87447,                0.92598,                0.67841,                0.50428,                0.80141,                0.46486,                0.96553,               0.007426,               0.007426,               0.007426
                     80,                0.47623,                0.75884,                0.39061,                0.90548,                0.89521,                0.86812,                0.92514,                0.81814,                0.90188,                0.87458,                0.92603,                0.67789,                0.50433,                0.80172,                0.46485,                0.96582,               0.007393,               0.007393,               0.007393
                     81,                0.47619,                 0.7611,                0.39177,                0.90631,                0.89436,                0.86886,                0.92519,                0.81832,                0.90082,                0.87513,                0.92585,                0.67818,                0.50399,                0.80162,                0.46472,                0.96595,                0.00736,                0.00736,                0.00736
                     82,                0.47389,                0.75513,                0.38693,                0.90108,                0.89506,                0.86803,                0.92496,                 0.8179,                0.90086,                0.87433,                0.92533,                0.67791,                0.50385,                0.80227,                0.46508,                0.96581,               0.007327,               0.007327,               0.007327
                     83,                 0.4729,                0.75431,                0.38411,                0.90202,                0.89494,                0.86792,                 0.9247,                0.81788,                0.90136,                0.87388,                  0.925,                0.67811,                0.50369,                0.80268,                 0.4653,                0.96587,               0.007294,               0.007294,               0.007294
                     84,                0.47422,                0.75736,                0.38239,                0.90164,                0.89384,                0.86895,                0.92486,                0.81791,                0.90059,                0.87419,                0.92493,                0.67769,                0.50362,                0.80297,                0.46509,                0.96578,               0.007261,               0.007261,               0.007261
                     85,                0.46796,                 0.7479,                0.38309,                0.89902,                0.89281,                0.86929,                0.92476,                0.81783,                0.89998,                0.87479,                0.92515,                0.67773,                 0.5037,                0.80342,                0.46515,                0.96603,               0.007228,               0.007228,               0.007228
                     86,                0.47234,                0.75102,                0.38492,                0.90251,                0.89447,                0.86786,                0.92491,                0.81818,                0.89962,                0.87538,                0.92525,                0.67782,                0.50424,                0.80359,                 0.4646,                0.96693,               0.007195,               0.007195,               0.007195
                     87,                0.46607,                0.74618,                0.37821,                0.90046,                0.89279,                0.86888,                0.92493,                0.81841,                0.89907,                0.87498,                0.92505,                0.67769,                0.50383,                 0.8041,                0.46479,                0.96656,               0.007162,               0.007162,               0.007162
                     88,                0.46756,                 0.7498,                0.38194,                0.90133,                0.89398,                 0.8683,                 0.9248,                0.81848,                0.90004,                0.87478,                0.92522,                 0.6779,                0.50387,                0.80441,                  0.465,                0.96691,               0.007129,               0.007129,               0.007129
                     89,                0.46881,                0.75364,                0.38267,                0.90235,                0.89477,                0.86728,                0.92484,                0.81826,                0.90029,                0.87433,                0.92518,                0.67765,                0.50371,                0.80453,                0.46533,                0.96687,               0.007096,               0.007096,               0.007096
                     90,                0.46643,                0.75183,                0.38122,                0.90093,                0.89527,                0.86636,                0.92494,                0.81839,                0.90112,                0.87296,                0.92506,                 0.6776,                0.50391,                0.80395,                0.46559,                0.96742,               0.007063,               0.007063,               0.007063
                     91,                0.46261,                0.74165,                0.37792,                0.89886,                0.89558,                0.86562,                0.92505,                0.81827,                0.90172,                0.87241,                0.92548,                0.67731,                0.50361,                0.80422,                0.46589,                0.96724,                0.00703,                0.00703,                0.00703
                     92,                0.46453,                0.74342,                0.37622,                0.89699,                0.89642,                0.86467,                0.92486,                 0.8183,                0.90205,                0.87208,                0.92516,                0.67709,                 0.5033,                0.80427,                0.46613,                0.96688,               0.006997,               0.006997,               0.006997
                     93,                0.45972,                0.73916,                0.37406,                0.89796,                0.89334,                0.86776,                0.92468,                0.81821,                0.90035,                 0.8738,                0.92487,                0.67731,                0.50311,                0.80483,                0.46634,                0.96686,               0.006964,               0.006964,               0.006964
                     94,                0.46158,                0.74482,                0.37505,                0.89789,                  0.892,                0.86847,                0.92457,                0.81824,                 0.8992,                0.87409,                0.92465,                0.67709,                0.50343,                0.80543,                0.46619,                0.96748,               0.006931,               0.006931,               0.006931
                     95,                0.46156,                0.74279,                0.37461,                0.89821,                0.89446,                0.86588,                0.92461,                0.81815,                0.90084,                0.87237,                0.92467,                0.67705,                0.50367,                0.80593,                0.46663,                0.96779,               0.006898,               0.006898,               0.006898
                     96,                0.46162,                0.74263,                0.37288,                0.89724,                0.89537,                0.86561,                0.92447,                 0.8183,                0.90103,                0.87276,                0.92462,                0.67714,                0.50381,                 0.8064,                0.46737,                0.96809,               0.006865,               0.006865,               0.006865
                     97,                0.46123,                0.73823,                 0.3728,                0.89721,                0.89421,                0.86623,                0.92441,                0.81831,                0.90012,                0.87354,                0.92467,                0.67703,                0.50423,                0.80723,                0.46755,                0.96867,               0.006832,               0.006832,               0.006832
                     98,                 0.4608,                0.73998,                0.36975,                0.89874,                0.89395,                0.86698,                0.92437,                 0.8181,                0.90022,                0.87306,                0.92427,                0.67683,                 0.5042,                0.80757,                0.46763,                0.96855,               0.006799,               0.006799,               0.006799
                     99,                0.45957,                0.74087,                0.37359,                0.89774,                0.89369,                0.86702,                0.92417,                0.81794,                0.90045,                0.87293,                0.92411,                0.67662,                0.50392,                 0.8075,                0.46796,                0.96844,               0.006766,               0.006766,               0.006766
                    100,                  0.459,                0.73937,                0.37285,                0.89737,                0.89448,                0.86659,                0.92388,                 0.8176,                0.90069,                 0.8726,                0.92382,                0.67616,                0.50409,                0.80778,                0.46874,                0.96884,               0.006733,               0.006733,               0.006733
                    101,                0.45571,                0.73367,                0.36905,                0.89132,                0.89384,                0.86705,                0.92377,                0.81747,                0.89961,                0.87299,                0.92363,                0.67612,                 0.5042,                0.80789,                0.46875,                0.96898,                 0.0067,                 0.0067,                 0.0067
                    102,                0.45506,                0.73468,                0.36893,                0.89514,                0.89297,                0.86734,                0.92358,                0.81732,                0.90003,                 0.8727,                0.92367,                0.67576,                0.50434,                0.80821,                0.46882,                0.96942,               0.006667,               0.006667,               0.006667
                    103,                0.45557,                0.73133,                0.36695,                0.89526,                0.89408,                0.86702,                0.92325,                0.81732,                0.90035,                0.87309,                0.92353,                0.67553,                0.50442,                0.80839,                0.46879,                0.96974,               0.006634,               0.006634,               0.006634
                    104,                0.45445,                0.73189,                0.37015,                0.89531,                0.89727,                0.86365,                0.92325,                 0.8173,                0.90286,                0.87041,                 0.9234,                0.67522,                0.50463,                0.80819,                0.46842,                0.97041,               0.006601,               0.006601,               0.006601
                    105,                0.45346,                0.73182,                 0.3657,                 0.8948,                0.89787,                0.86329,                0.92333,                0.81739,                0.90304,                0.86976,                 0.9231,                0.67555,                0.50496,                0.80803,                 0.4681,                0.97105,               0.006568,               0.006568,               0.006568
                    106,                0.44873,                0.72822,                 0.3623,                0.89222,                0.89845,                0.86329,                0.92324,                0.81736,                0.90291,                0.87023,                0.92336,                0.67593,                0.50494,                0.80767,                  0.468,                0.97101,               0.006535,               0.006535,               0.006535
                    107,                0.44951,                0.72757,                0.36218,                0.89315,                0.89807,                0.86404,                0.92315,                0.81737,                0.90367,                0.86995,                0.92313,                0.67596,                 0.5051,                0.80773,                0.46825,                0.97137,               0.006502,               0.006502,               0.006502
                    108,                0.44994,                0.72919,                0.36418,                0.89331,                0.89862,                0.86381,                0.92313,                0.81725,                0.90437,                0.86951,                0.92303,                 0.6761,                 0.5052,                0.80798,                0.46775,                0.97204,               0.006469,               0.006469,               0.006469
                    109,                0.44914,                 0.7291,                0.36297,                0.89149,                0.89833,                0.86394,                0.92301,                 0.8173,                0.90406,                0.86966,                 0.9229,                0.67611,                 0.5055,                0.80826,                0.46781,                0.97261,               0.006436,               0.006436,               0.006436
                    110,                0.44912,                0.72777,                0.36123,                0.89178,                0.89848,                0.86402,                0.92301,                0.81727,                0.90401,                0.86973,                0.92277,                 0.6758,                 0.5054,                 0.8088,                0.46784,                 0.9728,               0.006403,               0.006403,               0.006403
                    111,                0.44807,                  0.727,                0.36121,                0.89048,                0.89801,                0.86492,                0.92293,                0.81712,                0.90326,                0.87068,                0.92262,                0.67598,                0.50546,                0.80901,                0.46772,                0.97303,                0.00637,                0.00637,                0.00637
                    112,                0.44759,                0.72713,                0.35974,                0.89117,                0.89862,                0.86425,                0.92291,                0.81699,                0.90275,                0.87104,                0.92254,                0.67606,                0.50589,                0.80921,                0.46805,                0.97366,               0.006337,               0.006337,               0.006337
